[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl site.ycsb:core -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
/home/iclab/Tools/jdk/bin/java -cp /kolla/asterixdb/YCSB/core/conf:/kolla/asterixdb/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/home/iclab/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/iclab/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/iclab/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/iclab/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar site.ycsb.Client -db site.ycsb.BasicDB -p fieldlength=8 -p fieldcount=1 -P workloads/workloada -load
Command line: -db site.ycsb.BasicDB -p fieldlength=8 -p fieldcount=1 -P workloads/workloada -load
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
***************** properties *****************
"insertproportion"="0"
"fieldcount"="1"
"fieldlength"="8"
"readproportion"="0.5"
"scanproportion"="0"
"readallfields"="true"
"dotransactions"="false"
"workload"="site.ycsb.workloads.CoreWorkload"
"requestdistribution"="zipfian"
"recordcount"="10000"
"updateproportion"="0.5"
"operationcount"="10000"
"db"="site.ycsb.BasicDB"
**********************************************
INSERT usertable user6284781860667377211 [ field0=77p7_;'* ]
INSERT usertable user8517097267634966620 [ field0=>A?4B'>^ ]
INSERT usertable user1820151046732198393 [ field0=1"x;+>*" ]
INSERT usertable user4052466453699787802 [ field0=10$=%n5= ]
INSERT usertable user3232700585171816769 [ field0=;7h>Q1>4 ]
INSERT usertable user1000385178204227360 [ field0=>Z-,A+>- ]
INSERT usertable user7697331399106995587 [ field0=%*n:18:7 ]
INSERT usertable user5465015992139406178 [ field0=<0<42d>_ ]
INSERT usertable user6873002678636213555 [ field0='588\c=M ]
INSERT usertable user9105318085603802964 [ field0=&7v.D'!3 ]
INSERT usertable user2408371864701034737 [ field0=4:$,+v?- ]
INSERT usertable user4640687271668624146 [ field0=75<%Ny$D ]
INSERT usertable user2644479767202980425 [ field0=;@c;Jo,1 ]
INSERT usertable user412164360235391016 [ field0=/ 21>&)$ ]
INSERT usertable user7109110581138159243 [ field0=4,l6P+92 ]
INSERT usertable user4876795174170569834 [ field0=$="%*d2' ]
INSERT usertable user7461223496605049899 [ field0=:N'<,6%M ]
INSERT usertable user8753205170136912308 [ field0==8><?d#, ]
INSERT usertable user2996592682669871081 [ field0=2]%)Hg%" ]
INSERT usertable user5228908089637460490 [ field0=!*d?Y?<Q ]
INSERT usertable user2056258949234144081 [ field0=<S9)Ge<! ]
INSERT usertable user176056457733445328 [ field0=&0 !G17Q ]
INSERT usertable user6520889763169322899 [ field0=!F%5+ =, ]
INSERT usertable user4288574356201733490 [ field0=#F3$0"$/ ]
